# Maps source markdown (theme/sub-area/CFR) to GitHub issue.
# Format: <markdown-path>\t<owner/repo>\t<issue-number>
# Lines starting with '#' are comments. Tab-separated.
#
# This manifest is environment-specific (test vs production). The current
# entries point at turnerrainer/eFTI — the throwaway test target. When the
# theme/sub-area structure is replicated on kemit-ee/efti-gate-ee for
# production, replace the second column with kemit-ee/efti-gate-ee and the
# third column with the production issue numbers.
docs/cfr/identity-and-access/README.md	turnerrainer/eFTI	1
docs/cfr/identity-and-access/user_management_and_rbac.md	turnerrainer/eFTI	2
docs/cfr/identity-and-access/authentication.md	turnerrainer/eFTI	3
docs/cfr/identity-and-access/authentication_and_access_flows.md	turnerrainer/eFTI	4
docs/cfr/core-functionality/README.md	turnerrainer/eFTI	5
docs/cfr/core-functionality/identifier_management.md	turnerrainer/eFTI	6
docs/cfr/core-functionality/identifier_search.md	turnerrainer/eFTI	7
docs/cfr/core-functionality/dataset_retrieval_and_follow_up.md	turnerrainer/eFTI	8
docs/cfr/core-functionality/search_and_retrieval_flows.md	turnerrainer/eFTI	9
docs/cfr/registry-management/README.md	turnerrainer/eFTI	10
docs/cfr/registry-management/gate_registry.md	turnerrainer/eFTI	11
docs/cfr/registry-management/platform_registry.md	turnerrainer/eFTI	12
docs/cfr/registry-management/authority_registry.md	turnerrainer/eFTI	13
docs/cfr/registry-management/consignment_management.md	turnerrainer/eFTI	14
docs/cfr/integrations/README.md	turnerrainer/eFTI	15
docs/cfr/integrations/edelivery_as4.md	turnerrainer/eFTI	16
docs/cfr/integrations/x_road_integration.md	turnerrainer/eFTI	17
docs/cfr/integrations/as4_message_flow.md	turnerrainer/eFTI	18
docs/cfr/infrastructure/README.md	turnerrainer/eFTI	19
docs/cfr/infrastructure/scalability_and_statelessness.md	turnerrainer/eFTI	20
docs/cfr/infrastructure/health_checks_and_graceful_shutdown.md	turnerrainer/eFTI	21
docs/cfr/infrastructure/append_only_archival.md	turnerrainer/eFTI	22
docs/cfr/security-and-compliance/README.md	turnerrainer/eFTI	23
docs/cfr/security-and-compliance/security.md	turnerrainer/eFTI	24
docs/cfr/security-and-compliance/audit_and_gdpr.md	turnerrainer/eFTI	25
docs/cfr/observability/README.md	turnerrainer/eFTI	26
docs/cfr/observability/logging_and_observability.md	turnerrainer/eFTI	27
docs/cfr/observability/monitoring_and_alerting.md	turnerrainer/eFTI	28
docs/cfr/software-quality/README.md	turnerrainer/eFTI	29
docs/cfr/software-quality/test_coverage_and_quality.md	turnerrainer/eFTI	30
docs/cfr/software-quality/api_standardisation.md	turnerrainer/eFTI	31
docs/cfr/software-quality/ci_cd_and_supply_chain.md	turnerrainer/eFTI	32
docs/cfr/user-interfaces/README.md	turnerrainer/eFTI	33
docs/cfr/user-interfaces/authority_ui.md	turnerrainer/eFTI	34
docs/cfr/user-interfaces/admin_ui.md	turnerrainer/eFTI	35
